datasets,PDFC,NNEP,IS-CHC+INN,FH-GBML
1,0.752,0.773,0.785,0.795
2,0.727,0.748,0.724,0.713
3,0.736,0.716,0.585,0.638
4,0.994,0.861,0.880,0.791
5,0.508,0.553,0.575,0.515
6,0.535,0.536,0.513,0.471
7,0.967,0.871,0.954,0.532
8,0.831,0.807,0.819,0.768
9,0.745,0.702,0.719,0.705
10,0.709,0.572,0.669,0.607
11,0.722,0.728,0.725,0.732
12,0.967,0.947,0.953,0.960
13,0.832,0.752,0.802,0.691
14,0.998,0.992,0.482,0.910
15,0.963,0.963,0.954,0.926
16,0.982,0.953,0.932,0.630
17,0.978,0.773,0.834,0.849
18,0.854,0.787,0.841,0.779
19,0.965,0.984,0.995,0.947
20,0.924,0.887,0.861,0.804
21,0.929,0.942,0.931,0.921
22,0.837,0.643,0.602,0.554
23,0.972,0.956,0.944,0.922
24,0.958,0.959,0.964,0.964
